usuario_id,usuario_nombre,usuario_edad,usuario_verificado,usuario_correos_asociados,usuario_fecha_registro,cuenta_origen_id,cuenta_origen_saldo,cuenta_origen_tipo,cuenta_origen_fecha_creacion,cuenta_origen_activa,cuenta_origen_nivel_riesgo,cuenta_destino_id,cuenta_destino_saldo,cuenta_destino_tipo,cuenta_destino_fecha_creacion,cuenta_destino_activa,cuenta_destino_nivel_riesgo,transaccion_id,transaccion_monto,transaccion_fecha,transaccion_minuto_dia,transaccion_tipo,transaccion_canal,transaccion_etiquetas_alerta,transaccion_es_sospechosa,transaccion_riesgo_score,dispositivo_id,dispositivo_tipo,dispositivo_ip,dispositivo_sistema_operativo,dispositivo_confiable,dispositivo_ultimo_uso,ubicacion_residencia_id,ubicacion_residencia_pais,ubicacion_residencia_ciudad,ubicacion_residencia_latitud,ubicacion_residencia_longitud,ubicacion_residencia_zona_riesgo,ubicacion_transaccion_id,ubicacion_transaccion_pais,ubicacion_transaccion_ciudad,ubicacion_transaccion_latitud,ubicacion_transaccion_longitud,ubicacion_transaccion_zona_riesgo,ubicacion_cuenta_id,ubicacion_cuenta_pais,ubicacion_cuenta_ciudad,ubicacion_cuenta_latitud,ubicacion_cuenta_longitud,ubicacion_cuenta_zona_riesgo,ubicacion_dispositivo_id,ubicacion_dispositivo_pais,ubicacion_dispositivo_ciudad,ubicacion_dispositivo_latitud,ubicacion_dispositivo_longitud,ubicacion_dispositivo_zona_riesgo
USU_0016,Andres Hernandez,33,true,andres.hernandez@correo.com|0016@banco-demo.com,2022-02-05,CTA_00002,78098.86,ahorro,2024-07-29,true,alto,CTA_01565,1487.18,empresarial,2026-04-21,true,alto,TX_000016,41.0,2026-04-12,480,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,79,DEV_0006,cajero,10.6.42.195,POS-Embedded,true,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_016,Guatemala,Cobán,15.43108,-90.34279,false,UBI_005,Guatemala,Petén,16.95041,-89.90216,false,UBI_031,Honduras,Tegucigalpa,14.08437,-87.22664,true
USU_0017,Camila Martinez,70,true,camila.martinez@correo.com|0017@banco-demo.com,2021-07-04,CTA_00002,18284.88,monetaria,2022-01-16,true,alto,CTA_01566,23907.96,empresarial,2026-04-22,true,alto,TX_000017,66.94,2026-04-12,482,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0007,tablet,10.7.49.208,Windows,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_017,Guatemala,Petén,16.90025,-89.93893,false,UBI_005,Guatemala,Petén,16.90907,-89.92284,false,UBI_036,Guatemala,Guatemala,14.67675,-90.52193,false
USU_0018,Ricardo Rodriguez,40,true,ricardo.rodriguez@correo.com|0018@banco-demo.com,2020-08-27,CTA_00002,25162.82,monetaria,2025-10-27,true,alto,CTA_01567,34595.28,empresarial,2026-04-23,false,alto,TX_000018,64.53,2026-04-12,484,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0008,cajero,10.8.56.221,Android,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_018,El Salvador,San Salvador,13.7306,-89.24208,true,UBI_005,Guatemala,Petén,16.92006,-89.84444,false,UBI_041,Guatemala,Petén,16.86583,-89.88314,false
USU_0019,Valeria Rodriguez,60,true,valeria.rodriguez@correo.com|0019@banco-demo.com,2023-07-03,CTA_00002,32251.79,empresarial,2025-08-01,true,alto,CTA_01568,11510.41,nomina,2026-04-24,true,alto,TX_000019,54.19,2026-04-12,486,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,95,DEV_0009,laptop,10.9.63.234,Linux,true,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_019,Honduras,Tegucigalpa,14.11438,-87.17978,true,UBI_005,Guatemala,Petén,16.92834,-89.93034,false,UBI_046,Panamá,Ciudad de Panamá,9.0224,-79.51919,true
USU_0020,Ricardo Reyes,50,true,ricardo.reyes@correo.com|0020@banco-demo.com,2025-12-02,CTA_00002,72104.35,ahorro,2024-04-09,true,alto,CTA_01569,17027.18,empresarial,2026-04-25,true,alto,TX_000020,58.37,2026-04-12,488,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0010,laptop,10.10.70.247,ATM-OS,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_020,México,Tapachula,14.87662,-92.23482,true,UBI_005,Guatemala,Petén,16.92267,-89.91058,false,UBI_051,Guatemala,Escuintla,14.29918,-90.76744,false
USU_0021,Sofia Lopez,42,true,sofia.lopez@correo.com|0021@banco-demo.com,2025-08-30,CTA_00002,19594.36,monetaria,2024-08-08,true,alto,CTA_01570,51626.43,monetaria,2026-04-26,true,alto,TX_000021,36.39,2026-04-12,490,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,84,DEV_0001,laptop,10.1.7.5,iOS,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_021,Costa Rica,San José,9.93923,-84.06385,true,UBI_005,Guatemala,Petén,16.90754,-89.85419,false,UBI_006,El Salvador,San Salvador,13.70047,-89.19637,true
USU_0022,Gabriela Lopez,66,true,gabriela.lopez@correo.com|0022@banco-demo.com,2022-10-18,CTA_00002,49050.92,nomina,2024-07-30,true,alto,CTA_01571,32872.32,ahorro,2026-04-27,true,alto,TX_000022,78.35,2026-04-12,492,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,94,DEV_0002,cajero,10.2.14.18,macOS,true,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_022,Panamá,Ciudad de Panamá,9.01723,-79.52425,true,UBI_005,Guatemala,Petén,16.94214,-89.87604,false,UBI_011,Colombia,Bogotá,4.75979,-74.06255,true
USU_0023,Camila Vasquez,52,true,camila.vasquez@correo.com|0023@banco-demo.com,2021-07-24,CTA_00002,12151.37,nomina,2023-01-20,true,alto,CTA_01572,42385.15,monetaria,2026-04-28,true,alto,TX_000023,32.03,2026-04-12,494,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0003,tablet,10.3.21.31,Linux,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_023,Colombia,Bogotá,4.72367,-74.09464,true,UBI_005,Guatemala,Petén,16.86975,-89.91423,false,UBI_016,Guatemala,Cobán,15.44797,-90.38883,false
USU_0024,Valeria Reyes,40,true,valeria.reyes@correo.com|0024@banco-demo.com,2023-07-26,CTA_00002,31259.93,nomina,2023-10-17,true,alto,CTA_01573,44078.04,ahorro,2026-04-29,true,alto,TX_000024,49.6,2026-04-12,496,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,79,DEV_0004,tablet,10.4.28.44,macOS,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_024,Guatemala,Guatemala,14.66188,-90.46229,false,UBI_005,Guatemala,Petén,16.86395,-89.85473,false,UBI_021,Costa Rica,San José,9.93567,-84.093,true
USU_0025,Lucia Morales,55,true,lucia.morales@correo.com|0025@banco-demo.com,2022-02-11,CTA_00002,2265.45,nomina,2021-07-02,true,alto,CTA_01574,27701.91,monetaria,2026-04-30,true,alto,TX_000025,51.28,2026-04-12,498,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0005,tablet,10.5.35.57,iOS,true,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_025,Guatemala,Antigua Guatemala,14.58102,-90.69985,false,UBI_005,Guatemala,Petén,16.95395,-89.84473,false,UBI_026,Guatemala,Quetzaltenango,14.85551,-91.48981,false
USU_0026,Paola Perez,22,true,paola.perez@correo.com|0026@banco-demo.com,2021-09-14,CTA_00002,52175.2,monetaria,2023-08-12,true,alto,CTA_01575,11961.64,monetaria,2026-04-06,true,alto,TX_000026,48.65,2026-04-12,500,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,88,DEV_0006,laptop,10.6.42.70,iOS,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_026,Guatemala,Quetzaltenango,14.88559,-91.53347,false,UBI_005,Guatemala,Petén,16.9369,-89.93759,false,UBI_031,Honduras,Tegucigalpa,14.11749,-87.21968,true
USU_0027,Elena Hernandez,37,true,elena.hernandez@correo.com|0027@banco-demo.com,2023-04-25,CTA_00002,2151.71,empresarial,2022-01-20,true,alto,CTA_01576,54481.57,nomina,2026-04-07,true,alto,TX_000027,50.25,2026-04-12,502,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,81,DEV_0007,laptop,10.7.49.83,Android,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_027,Guatemala,Escuintla,14.33169,-90.81822,false,UBI_005,Guatemala,Petén,16.92272,-89.86801,false,UBI_036,Guatemala,Guatemala,14.59635,-90.47497,false
USU_0028,Jose Ramirez,60,true,jose.ramirez@correo.com|0028@banco-demo.com,2021-08-03,CTA_00002,40526.27,empresarial,2024-04-14,false,alto,CTA_01577,25203.52,nomina,2026-04-08,true,alto,TX_000028,60.33,2026-04-12,504,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0008,tablet,10.8.56.96,ATM-OS,true,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_028,Guatemala,Cobán,15.48923,-90.34025,false,UBI_005,Guatemala,Petén,16.94162,-89.88621,false,UBI_041,Guatemala,Petén,16.86611,-89.88953,false
USU_0029,Sofia Gomez,64,true,sofia.gomez@correo.com|0029@banco-demo.com,2024-12-07,CTA_00002,25852.14,ahorro,2021-11-11,true,alto,CTA_01578,5199.77,nomina,2026-04-09,true,alto,TX_000029,85.78,2026-04-12,506,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,92,DEV_0009,cajero,10.9.63.109,Linux,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_029,Guatemala,Petén,16.95855,-89.91579,false,UBI_005,Guatemala,Petén,16.94282,-89.88898,false,UBI_046,Panamá,Ciudad de Panamá,8.98075,-79.52634,true
USU_0030,Lucia Lopez,53,false,lucia.lopez@correo.com|0030@banco-demo.com,2023-02-24,CTA_00002,75850.2,monetaria,2024-02-26,true,alto,CTA_01579,24385.69,ahorro,2026-04-10,true,alto,TX_000030,61.88,2026-04-12,508,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0010,cajero,10.10.70.122,macOS,false,2026-04-12,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_030,El Salvador,San Salvador,13.69165,-89.23272,true,UBI_005,Guatemala,Petén,16.88784,-89.91483,false,UBI_051,Guatemala,Escuintla,14.31462,-90.74699,false
USU_0031,Jorge Hernandez,39,true,jorge.hernandez@correo.com|0031@banco-demo.com,2023-08-27,CTA_00003,36354.25,empresarial,2022-02-05,true,alto,CTA_01580,7239.35,ahorro,2026-04-11,true,alto,TX_000031,77.4,2026-04-13,480,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,80,DEV_0001,pos,10.1.7.135,POS-Embedded,true,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_031,Honduras,Tegucigalpa,14.05292,-87.18394,true,UBI_007,Honduras,Tegucigalpa,14.06963,-87.18901,true,UBI_006,El Salvador,San Salvador,13.68545,-89.19361,true
USU_0032,Valeria Ramirez,41,true,valeria.ramirez@correo.com|0032@banco-demo.com,2023-03-17,CTA_00003,1230.45,ahorro,2024-06-04,true,alto,CTA_01581,58457.7,empresarial,2026-04-12,true,alto,TX_000032,68.66,2026-04-13,482,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,84,DEV_0002,laptop,10.2.14.148,ATM-OS,false,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_032,México,Tapachula,14.91456,-92.23738,true,UBI_007,Honduras,Tegucigalpa,14.08198,-87.14405,true,UBI_011,Colombia,Bogotá,4.74426,-74.09248,true
USU_0033,Jose Reyes,70,false,jose.reyes@correo.com|0033@banco-demo.com,2025-11-07,CTA_00003,39390.55,monetaria,2022-10-04,true,alto,CTA_01582,48668.52,empresarial,2026-04-13,true,alto,TX_000033,83.82,2026-04-13,484,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,93,DEV_0003,laptop,10.3.21.161,Android,false,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_033,Costa Rica,San José,9.92504,-84.09665,true,UBI_007,Honduras,Tegucigalpa,14.04074,-87.23696,true,UBI_016,Guatemala,Cobán,15.51491,-90.37303,false
USU_0034,Pablo Castillo,54,true,pablo.castillo@correo.com|0034@banco-demo.com,2021-06-27,CTA_00003,48809.51,monetaria,2022-07-05,true,alto,CTA_01583,12467.27,ahorro,2026-04-14,true,alto,TX_000034,57.44,2026-04-13,486,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,91,DEV_0004,telefono,10.4.28.174,iOS,true,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_034,Panamá,Ciudad de Panamá,9.00997,-79.53186,true,UBI_007,Honduras,Tegucigalpa,14.11315,-87.21236,true,UBI_021,Costa Rica,San José,9.93695,-84.09782,true
USU_0035,Maria Martinez,22,true,maria.martinez@correo.com|0035@banco-demo.com,2025-11-27,CTA_00003,73920.49,ahorro,2023-09-08,true,alto,CTA_01584,32673.74,ahorro,2026-04-15,true,alto,TX_000035,30.39,2026-04-13,488,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,95,DEV_0005,laptop,10.5.35.187,Android,false,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_035,Colombia,Bogotá,4.72994,-74.07511,true,UBI_007,Honduras,Tegucigalpa,14.02556,-87.21329,true,UBI_026,Guatemala,Quetzaltenango,14.83037,-91.49454,false
USU_0036,Pablo Ramirez,49,true,pablo.ramirez@correo.com|0036@banco-demo.com,2021-04-19,CTA_00003,47883.13,nomina,2022-10-14,true,alto,CTA_01585,36222.82,monetaria,2026-04-16,true,alto,TX_000036,15.07,2026-04-13,490,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,87,DEV_0006,pos,10.6.42.200,Linux,false,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_036,Guatemala,Guatemala,14.61376,-90.54446,false,UBI_007,Honduras,Tegucigalpa,14.09117,-87.17213,true,UBI_031,Honduras,Tegucigalpa,14.11657,-87.19205,true
USU_0037,Elena Lopez,49,true,elena.lopez@correo.com|0037@banco-demo.com,2021-08-23,CTA_00003,37653.83,nomina,2021-09-26,true,alto,CTA_01586,40208.01,ahorro,2026-04-17,true,alto,TX_000037,90.82,2026-04-13,492,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,86,DEV_0007,cajero,10.7.49.213,Windows,true,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_037,Guatemala,Antigua Guatemala,14.55565,-90.71875,false,UBI_007,Honduras,Tegucigalpa,14.11391,-87.22395,true,UBI_036,Guatemala,Guatemala,14.64343,-90.49342,false
USU_0038,Ricardo Lopez,73,true,ricardo.lopez@correo.com|0038@banco-demo.com,2023-05-16,CTA_00003,33118.48,ahorro,2025-06-25,true,alto,CTA_01587,37358.03,nomina,2026-04-18,true,alto,TX_000038,66.32,2026-04-13,494,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0008,telefono,10.8.56.226,iOS,false,2026-04-13,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_038,Guatemala,Quetzaltenango,14.82734,-91.56891,false,UBI_007,Honduras,Tegucigalpa,14.09955,-87.15561,true,UBI_041,Guatemala,Petén,16.94449,-89.94268,false
